TeamID,Team,GP,W,L,WIN%,MIN,EOFFRTG,OFFRTG,EDEFRTG,DEFRTG,ENETRTG,NETRTG,Season
1610612760,Oklahoma City Thunder,16,10,6,0.625,773.0,105.8,107.5,101.2,103.1,4.6,4.3,2014-15
1610612753,Orlando Magic,16,4,12,0.25,773.0,102.0,103.4,108.6,109.8,-6.5,-6.4,2014-15
1610612755,Philadelphia 76ers,17,5,12,0.294,816.0,92.2,93.5,99.0,100.6,-6.7,-7.0,2014-15
1610612756,Phoenix Suns,15,7,8,0.467,730.0,103.4,104.2,104.5,106.2,-1.1,-2.0,2014-15
1610612757,Portland Trail Blazers,16,7,9,0.438,773.0,102.8,103.8,101.8,103.3,0.9,0.5,2014-15
1610612758,Sacramento Kings,16,3,13,0.188,773.0,97.0,98.6,106.4,107.7,-9.3,-9.1,2014-15
1610612759,San Antonio Spurs,15,11,4,0.733,720.0,101.0,103.6,97.9,99.1,3.1,4.5,2014-15
1610612761,Toronto Raptors,17,11,6,0.647,826.0,105.2,107.3,103.4,104.8,1.8,2.5,2014-15
1610612762,Utah Jazz,15,6,9,0.4,720.0,101.6,104.5,104.2,105.6,-2.6,-1.1,2014-15
1610612764,Washington Wizards,18,8,10,0.444,879.0,102.2,103.5,99.9,102.0,2.3,1.4,2014-15
1610612737,Atlanta Hawks,17,8,9,0.471,826.0,100.3,101.8,96.5,98.0,3.8,3.8,2015-16
1610612738,Boston Celtics,19,13,6,0.684,922.0,108.6,110.0,102.7,104.1,5.9,6.0,2015-16
1610612751,Brooklyn Nets,17,4,13,0.235,816.0,102.9,103.9,111.5,113.0,-8.6,-9.0,2015-16
1610612766,Charlotte Hornets,17,10,7,0.588,841.0,103.7,105.8,101.9,103.8,1.9,2.0,2015-16
1610612741,Chicago Bulls,17,5,12,0.294,826.0,100.2,102.5,107.2,108.2,-7.0,-5.7,2015-16
1610612739,Cleveland Cavaliers,18,13,5,0.722,874.0,108.6,110.3,104.1,105.1,4.6,5.3,2015-16
1610612742,Dallas Mavericks,18,8,10,0.444,889.0,102.9,104.2,106.1,108.2,-3.2,-4.0,2015-16
1610612743,Denver Nuggets,17,9,8,0.529,821.0,105.3,107.4,104.8,106.5,0.5,0.9,2015-16
