TeamID,Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season
1610612751,Brooklyn Nets,59,19,40,0.322,2857.0,0.505,0.264,0.153,0.259,0.514,0.267,0.123,0.262,2017-18
1610612766,Charlotte Hornets,57,24,33,0.421,2751.0,0.497,0.309,0.129,0.276,0.528,0.218,0.142,0.231,2017-18
1610612741,Chicago Bulls,57,20,37,0.351,2771.0,0.5,0.215,0.137,0.244,0.534,0.234,0.13,0.233,2017-18
1610612739,Cleveland Cavaliers,56,34,22,0.607,2698.0,0.547,0.279,0.143,0.236,0.542,0.219,0.137,0.272,2017-18
1610612742,Dallas Mavericks,58,18,40,0.31,2794.0,0.515,0.224,0.128,0.222,0.535,0.262,0.146,0.249,2017-18
1610612743,Denver Nuggets,58,32,26,0.552,2799.0,0.531,0.25,0.155,0.302,0.541,0.228,0.146,0.254,2017-18
1610612765,Detroit Pistons,57,28,29,0.491,2741.0,0.512,0.228,0.14,0.27,0.526,0.224,0.155,0.256,2017-18
1610612744,Golden State Warriors,58,44,14,0.759,2794.0,0.579,0.246,0.157,0.252,0.498,0.25,0.141,0.288,2017-18
1610612745,Houston Rockets,57,44,13,0.772,2746.0,0.555,0.304,0.14,0.252,0.529,0.237,0.148,0.237,2017-18
1610612754,Indiana Pacers,58,33,25,0.569,2794.0,0.534,0.231,0.136,0.265,0.529,0.229,0.155,0.285,2017-18
1610612746,LA Clippers,56,30,26,0.536,2693.0,0.524,0.295,0.148,0.273,0.512,0.268,0.147,0.284,2017-18
1610612747,Los Angeles Lakers,57,23,34,0.404,2771.0,0.51,0.26,0.156,0.284,0.516,0.252,0.145,0.279,2017-18
1610612763,Memphis Grizzlies,56,18,38,0.321,2693.0,0.502,0.266,0.155,0.275,0.518,0.334,0.154,0.279,2017-18
1610612748,Miami Heat,58,30,28,0.517,2794.0,0.518,0.229,0.155,0.259,0.508,0.274,0.14,0.252,2017-18
1610612749,Milwaukee Bucks,57,32,25,0.561,2746.0,0.531,0.29,0.141,0.236,0.524,0.291,0.16,0.286,2017-18
1610612750,Minnesota Timberwolves,61,36,25,0.59,2948.0,0.526,0.284,0.129,0.292,0.543,0.232,0.16,0.28,2017-18
1610612740,New Orleans Pelicans,57,31,26,0.544,2781.0,0.544,0.256,0.15,0.239,0.522,0.228,0.144,0.271,2017-18
1610612752,New York Knicks,59,23,36,0.39,2857.0,0.508,0.233,0.156,0.295,0.518,0.262,0.139,0.267,2017-18
1610612760,Oklahoma City Thunder,59,33,26,0.559,2852.0,0.513,0.268,0.144,0.324,0.524,0.26,0.165,0.274,2017-18
1610612753,Orlando Magic,57,18,39,0.316,2741.0,0.52,0.245,0.148,0.254,0.528,0.244,0.143,0.29,2017-18
1610612755,Philadelphia 76ers,55,30,25,0.545,2660.0,0.527,0.269,0.173,0.292,0.491,0.303,0.142,0.27,2017-18
1610612756,Phoenix Suns,59,18,41,0.305,2837.0,0.493,0.282,0.155,0.278,0.532,0.282,0.132,0.28,2017-18
1610612757,Portland Trail Blazers,58,32,26,0.552,2799.0,0.513,0.239,0.144,0.277,0.505,0.255,0.129,0.26,2017-18
1610612758,Sacramento Kings,57,18,39,0.316,2741.0,0.506,0.202,0.149,0.263,0.55,0.258,0.154,0.275,2017-18
1610612759,San Antonio Spurs,59,35,24,0.593,2832.0,0.51,0.237,0.143,0.277,0.505,0.222,0.145,0.253,2017-18
1610612761,Toronto Raptors,57,41,16,0.719,2746.0,0.536,0.252,0.134,0.273,0.498,0.282,0.152,0.281,2017-18
1610612762,Utah Jazz,58,30,28,0.517,2794.0,0.524,0.248,0.147,0.245,0.52,0.258,0.156,0.242,2017-18
1610612764,Washington Wizards,57,33,24,0.579,2756.0,0.524,0.263,0.145,0.273,0.516,0.279,0.155,0.275,2017-18
1610612737,Atlanta Hawks,58,19,39,0.328,2789.0,0.52,0.261,0.175,0.288,0.544,0.309,0.148,0.287,2018-19
1610612738,Boston Celtics,58,37,21,0.638,2804.0,0.537,0.213,0.13,0.266,0.508,0.268,0.154,0.27,2018-19
1610612751,Brooklyn Nets,59,30,29,0.508,2882.0,0.521,0.283,0.149,0.289,0.52,0.248,0.131,0.278,2018-19
1610612766,Charlotte Hornets,57,27,30,0.474,2761.0,0.514,0.26,0.124,0.271,0.533,0.23,0.136,0.265,2018-19
1610612741,Chicago Bulls,58,14,44,0.241,2804.0,0.505,0.231,0.147,0.235,0.534,0.248,0.138,0.278,2018-19
1610612739,Cleveland Cavaliers,58,12,46,0.207,2799.0,0.496,0.234,0.139,0.282,0.558,0.239,0.128,0.274,2018-19
1610612742,Dallas Mavericks,57,26,31,0.456,2746.0,0.52,0.301,0.153,0.287,0.518,0.241,0.137,0.266,2018-19
1610612743,Denver Nuggets,57,39,18,0.684,2746.0,0.533,0.235,0.136,0.315,0.525,0.259,0.139,0.255,2018-19
1610612765,Detroit Pistons,56,26,30,0.464,2718.0,0.503,0.267,0.148,0.288,0.525,0.285,0.142,0.246,2018-19
1610612744,Golden State Warriors,57,41,16,0.719,2756.0,0.563,0.241,0.136,0.268,0.512,0.266,0.131,0.272,2018-19
1610612745,Houston Rockets,57,33,24,0.579,2761.0,0.536,0.293,0.139,0.28,0.534,0.285,0.15,0.308,2018-19
1610612754,Indiana Pacers,58,38,20,0.655,2789.0,0.532,0.229,0.141,0.274,0.512,0.239,0.163,0.269,2018-19
1610612746,LA Clippers,59,32,27,0.542,2857.0,0.527,0.327,0.142,0.263,0.511,0.285,0.125,0.282,2018-19
1610612747,Los Angeles Lakers,57,28,29,0.491,2756.0,0.531,0.261,0.152,0.271,0.511,0.238,0.135,0.275,2018-19
1610612763,Memphis Grizzlies,59,23,36,0.39,2857.0,0.506,0.265,0.146,0.234,0.519,0.299,0.161,0.277,2018-19
1610612748,Miami Heat,56,26,30,0.464,2693.0,0.512,0.253,0.155,0.298,0.508,0.262,0.14,0.266,2018-19
1610612749,Milwaukee Bucks,57,43,14,0.754,2746.0,0.552,0.249,0.138,0.248,0.5,0.226,0.136,0.242,2018-19
1610612750,Minnesota Timberwolves,57,27,30,0.474,2751.0,0.507,0.27,0.131,0.304,0.531,0.251,0.149,0.29,2018-19
1610612740,New Orleans Pelicans,59,26,33,0.441,2832.0,0.533,0.271,0.139,0.287,0.529,0.257,0.128,0.271,2018-19
1610612752,New York Knicks,58,11,47,0.19,2804.0,0.485,0.268,0.135,0.272,0.536,0.267,0.139,0.29,2018-19
1610612760,Oklahoma City Thunder,57,37,20,0.649,2751.0,0.521,0.275,0.136,0.296,0.519,0.267,0.167,0.266,2018-19
1610612753,Orlando Magic,59,27,32,0.458,2847.0,0.513,0.215,0.136,0.251,0.515,0.245,0.132,0.254,2018-19
1610612755,Philadelphia 76ers,58,37,21,0.638,2809.0,0.54,0.321,0.15,0.273,0.509,0.269,0.13,0.263,2018-19
1610612756,Phoenix Suns,59,11,48,0.186,2862.0,0.512,0.247,0.156,0.251,0.546,0.316,0.155,0.311,2018-19
1610612757,Portland Trail Blazers,57,34,23,0.596,2756.0,0.526,0.254,0.139,0.296,0.517,0.247,0.124,0.261,2018-19
